50,55
43,45
29,21
31,13
25,19
3,19
31,1
52,47
33,20
17,13
55,66
44,3
19,14
67,59
33,58
59,33
2,13
33,64
57,56
61,57
37,19
63,40
5,30
7,36
33,19
61,55
33,67
41,1
15,18
61,64
21,39
17,15
59,58
67,51
11,28
11,6
17,14
24,5
43,68
49,49
9,39
23,3
23,13
62,55
43,69
55,53
37,15
7,19
21,37
31,55
49,70
63,27
62,65
58,55
36,59
25,5
9,25
3,2
34,69
29,29
67,54
33,9
7,22
55,65
37,6
23,2
36,17
11,23
16,21
5,4
56,69
39,53
69,47
3,38
67,49
61,31
63,37
17,36
10,19
7,28
33,3
27,56
8,17
35,10
7,16
3,8
27,8
43,55
33,16
5,37
55,49
11,35
45,70
21,3
42,67
10,17
19,38
38,3
5,31
16,11
53,44
55,41
1,21
66,53
4,25
34,9
68,63
36,13
23,19
57,38
55,51
24,21
9,33
61,41
5,21
55,57
43,52
53,51
12,29
14,11
65,69
34,19
20,3
41,9
16,13
65,67
64,69
61,40
53,45
33,12
41,65
55,55
1,37
45,52
14,41
1,27
69,37
40,65
49,55
33,66
59,29
18,31
35,8
58,39
29,7
35,5
21,5
19,37
60,51
14,37
6,7
7,17
32,53
46,65
23,58
21,25
19,25
54,57
61,67
23,7
3,3
37,0
11,31
21,8
55,45
63,67
11,37
2,33
37,52
11,27
11,19
36,65
1,31
25,12
17,27
45,65
17,22
39,64
59,39
36,61
42,65
26,11
57,55
0,35
14,43
31,4
51,59
62,39
49,67
55,59
21,27
59,68
57,59
21,11
50,51
36,67
15,11
49,58
29,5
39,52
37,67
67,34
14,13
5,18
33,68
44,7
2,29
7,39
67,35
53,46
0,29
3,34
22,3
3,30
43,49
39,57
45,63
18,17
22,35
32,17
57,64
1,32
13,16
11,7
55,35
13,24
4,13
57,69
62,43
64,53
65,62
14,25
51,43
33,6
1,1
13,8
39,63
51,51
35,56
28,5
7,29
9,11
39,67
51,54
63,65
42,55
44,67
65,53
19,19
33,13
47,65
3,24
47,56
35,63
9,7
48,53
39,49
60,55
69,32
61,33
41,58
53,56
13,35
66,37
59,64
63,48
3,5
11,11
17,17
65,59
53,67
67,63
9,35
36,1
32,21
47,67
67,69
37,61
33,17
47,64
53,66
7,23
9,15
51,61
65,68
69,58
0,15
35,59
37,17
16,41
2,19
53,65
51,50
19,13
47,63
5,26
37,69
31,63
69,69
63,39
63,51
57,63
55,64
55,37
47,69
61,63
19,26
57,41
49,61
31,11
13,33
59,27
66,33
69,57
55,47
59,69
12,11
25,18
8,13
49,57
15,14
63,63
59,37
25,16
40,55
3,17
28,9
29,17
43,67
59,65
63,58
6,5
33,11
54,49
53,54
21,34
31,61
9,20
25,11
13,21
55,39
57,62
6,27
61,46
55,43
57,47
25,9
44,65
13,26
1,2
56,31
3,25
47,68
1,6
27,7
29,11
49,53
59,59
47,54
24,9
27,20
22,21
48,49
51,48
30,3
35,7
63,31
65,35
57,35
11,26
8,33
27,3
9,19
7,27
18,19
52,67
23,12
63,28
15,7
19,23
34,55
27,15
47,62
7,32
61,34
57,31
17,25
51,55
27,13
69,56
34,15
67,60
11,10
61,29
3,11
62,69
12,21
70,59
17,24
26,15
17,35
63,47
2,17
3,23
4,21
25,23
9,8
28,13
15,38
27,11
58,31
55,61
69,59
16,27
16,17
50,39
37,53
31,3
5,3
35,65
9,13
56,61
30,17
46,49
55,60
7,13
44,49
55,54
29,2
5,17
23,1
7,21
67,53
49,50
49,60
6,15
47,49
68,35
38,59
3,1
24,15
39,68
